model,hardware,tp,batch_size,prompt_plus_token_size,token_time,layer_time,Matmul,BatchedMatmul,Softmax,LayerNorm,GeLU,AllReduce,Others
Bloom-176B,H100x8,8,2,8,0.029293,0.00041847,0.00032399,3.6911e-05,6.2346e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,9,0.029295,0.00041851,0.00032399,3.6948e-05,6.2346e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,10,0.029296,0.00041851,0.00032399,3.6954e-05,6.2346e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,48,0.02932,0.00041886,0.00032399,3.7299e-05,6.2377e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,40,0.029316,0.0004188,0.00032399,3.7242e-05,6.2366e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,36,0.029312,0.00041875,0.00032399,3.7188e-05,6.2366e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,64,0.02933,0.000419,0.00032399,3.7436e-05,6.2387e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,32,0.029311,0.00041872,0.00032399,3.7163e-05,6.2366e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,34,0.029312,0.00041874,0.00032399,3.7177e-05,6.2366e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,24,0.029306,0.00041865,0.00032399,3.7094e-05,6.2356e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,33,0.029311,0.00041873,0.00032399,3.7173e-05,6.2366e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,16,0.029298,0.00041855,0.00032399,3.6988e-05,6.2356e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,17,0.029299,0.00041855,0.00032399,3.6993e-05,6.2356e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,18,0.029302,0.0004186,0.00032399,3.7041e-05,6.2356e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,20,0.029303,0.00041861,0.00032399,3.7052e-05,6.2356e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,136,0.029372,0.0004196,0.00032399,3.8035e-05,6.2457e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,144,0.029376,0.00041966,0.00032399,3.8089e-05,6.2457e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,132,0.02937,0.00041957,0.00032399,3.8006e-05,6.2447e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,130,0.029367,0.00041953,0.00032399,3.7966e-05,6.2447e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,65,0.02933,0.000419,0.00032399,3.7442e-05,6.2387e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
Bloom-176B,H100x8,8,2,66,0.029331,0.00041901,0.00032399,3.7451e-05,6.2387e-06,1.412e-05,5.9719e-06,3.1142e-05,1.0263e-07
