model,hardware,tp,batch_size,prompt_size,prompt_time,layer_time,Matmul,BatchedMatmul,Softmax,LayerNorm,GeLU,AllReduce,Others
Bloom-176B,H100x8,8,8,7168,6.8714,0.098162,0.051498,0.011128,0.014509,0.0043567,0.0010432,0.012685,0.0029427
Bloom-176B,H100x8,8,8,8192,8.1579,0.11654,0.058823,0.014476,0.019217,0.0049776,0.0011916,0.014493,0.0033631
Bloom-176B,H100x8,8,8,2048,1.6165,0.023093,0.014874,0.00098575,0.0011918,0.0012529,0.00030161,0.0036462,0.00084078
Bloom-176B,H100x8,8,8,3072,2.5249,0.03607,0.022199,0.0021617,0.0026699,0.0018738,0.00044994,0.0054539,0.0012612
Bloom-176B,H100x8,8,8,4096,3.499,0.049986,0.029524,0.0036832,0.0047429,0.0024947,0.00059826,0.0072616,0.0016816
Bloom-176B,H100x8,8,8,5120,4.5576,0.065109,0.036849,0.0058223,0.0074042,0.0031157,0.00074658,0.0090693,0.002102
Bloom-176B,H100x8,8,12,2,0.030146,0.00043065,0.00032815,3.693e-05,6.2962e-06,1.5625e-05,6.4244e-06,3.5997e-05,1.2316e-06
Bloom-176B,H100x8,8,12,4,0.031174,0.00044534,0.00033289,3.7067e-05,6.2548e-06,1.8403e-05,6.9739e-06,4.1293e-05,2.4632e-06
Bloom-176B,H100x8,8,12,8,0.033177,0.00047395,0.00034187,3.7389e-05,6.2962e-06,2.3251e-05,8.334e-06,5.1885e-05,4.9265e-06
Bloom-176B,H100x8,8,12,16,0.037364,0.00053377,0.00036333,3.8043e-05,6.4397e-06,3.2458e-05,1.0582e-05,7.3069e-05,9.8529e-06
Bloom-176B,H100x8,8,12,512,0.58178,0.0083111,0.0057355,0.00015998,0.00011865,0.0004768,0.00011838,0.0013865,0.00031529
Bloom-176B,H100x8,8,12,384,0.43996,0.0062851,0.0043447,0.00012779,6.97e-05,0.00036669,9.2202e-05,0.0010475,0.00023647
Bloom-176B,H100x8,8,12,768,0.87147,0.01245,0.0084517,0.00030588,0.00026606,0.00071358,0.00017509,0.0020644,0.00047294
Bloom-176B,H100x8,8,12,1024,1.165,0.016643,0.011212,0.00043775,0.00045021,0.00094248,0.00022745,0.0027423,0.00063059
Bloom-176B,H100x8,8,12,32,0.052496,0.00074995,0.00050923,4.0028e-05,6.8589e-06,4.3141e-05,1.5542e-05,0.00011544,1.9706e-05
Bloom-176B,H100x8,8,12,64,0.088286,0.0012612,0.00087457,4.3493e-05,8.8972e-06,7.4454e-05,2.0229e-05,0.00020018,3.9412e-05
Bloom-176B,H100x8,8,12,128,0.16027,0.0022896,0.0016077,5.2261e-05,1.5814e-05,0.0001299,3.5493e-05,0.00036965,7.8823e-05
Bloom-176B,H100x8,8,12,256,0.29759,0.0042513,0.0029609,7.8746e-05,3.5766e-05,0.0002479,6.1673e-05,0.0007086,0.00015765
Bloom-176B,H100x8,8,16,8,0.034518,0.00049312,0.00034863,3.8085e-05,6.3265e-06,2.5637e-05,8.9284e-06,5.8947e-05,6.5686e-06
Bloom-176B,H100x8,8,16,16,0.040456,0.00057795,0.00038192,3.8957e-05,6.4962e-06,3.8013e-05,1.2236e-05,8.7192e-05,1.3137e-05
Bloom-176B,H100x8,8,16,32,0.063612,0.00090874,0.00061584,4.1604e-05,7.0619e-06,5.6233e-05,1.804e-05,0.00014368,2.6274e-05
Bloom-176B,H100x8,8,16,64,0.10972,0.0015675,0.0010831,4.6225e-05,9.4599e-06,9.2674e-05,2.6766e-05,0.00025667,5.2549e-05
Bloom-176B,H100x8,8,16,1,0.02982,0.000426,0.0003264,3.6941e-05,6.2649e-06,1.5077e-05,6.2598e-06,3.4232e-05,8.2108e-07
Bloom-176B,H100x8,8,16,2,0.030478,0.00043541,0.00032954,3.7473e-05,6.2286e-06,1.6172e-05,6.588e-06,3.7762e-05,1.6422e-06
Bloom-176B,H100x8,8,16,4,0.031826,0.00045466,0.00033574,3.7656e-05,6.2568e-06,1.9498e-05,7.4072e-06,4.4824e-05,3.2843e-06
Bloom-176B,H100x8,8,12,5120,6.8254,0.097506,0.055161,0.0087157,0.011104,0.0046671,0.0011174,0.013589,0.0031529
Bloom-176B,H100x8,8,12,1536,1.7795,0.025421,0.016706,0.0009185,0.0010043,0.0014082,0.00034087,0.0040981,0.00094588
